table_array,question,answer
"[['#', 'Title', 'TPB ISBN', 'TPB Release date', 'TPB page number', 'Collected material'], [1, 'The Name of the Game', 'ISBN 91-33-30546-3', 'June, 2007', 152, 'The Boys #1-6'], [2, 'Get Some', 'ISBN 1-933305-68-1', 'March, 2008', 192, 'The Boys #7–14'], [3, 'Good for the Soul', 'ISBN 1-933305-92-4', 'October, 2008', 192, 'The Boys #15-22'], [4, 'We Gotta Go Now', 'ISBN 1-84856-298-5', 'July, 2009', 192, 'The Boys #23-30'], [5, 'Herogasm', 'ISBN 1-60690-082-X', 'November, 2009', 144, 'Herogasm #1–6'], [6, 'The Self-Preservation Society', 'ISBN 1-60690-125-7', 'March, 2010', 192, 'The Boys #31–38'], [7, 'The Innocents', 'ISBN 1-60690-150-8', 'December, 2010', 216, 'The Boys #39-47'], [8, 'Highland Laddie', 'ISBN 1-60690-207-5', 'April, 2011', 144, 'Highland Laddie #1-6'], [9, 'The Big Ride', 'ISBN 1-60690-220-2', 'November 9, 2011', 276, 'The Boys #48-59'], [10, 'Butcher, Baker, Candlestickmaker', 'ISBN 1-60690-264-4', 'March 6, 2012', 144, 'Butcher, Baker, Candlestickmaker #1-6'], [11, 'Over the Hill with the Sword of a Thousand Men', 'ISBN 1-60690-341-1', 'June/July, 2012', 152, 'The Boys #60-65'], [12, 'The Bloody Doors Off', 'ISBN 1-60690-373-X', 'December, 2012', 170, 'The Boys #66-72']]",what title is at the top of the table?,The Name of the Game
"[['Year', 'Name of show', 'Episodes', 'Other guests', 'Winner(s)'], [1997, 'Super Trio Series 2: Movie Buff Championship', '18', 'Florence Kwok, Joey Leung, Shen Yu, Eddie Ng, Athena Chu', 'Charmaine Sheh'], [2000, 'The Super Trio Show', '06', 'Julian Cheung, Calvin Choy, Sherming Yiu, Yuen Wah, Liz Kong', 'Charmaine Sheh, Julian Cheung'], [2002, 'A Trio Delights', '03', 'Timmy Hung, Ken Wong, Stephanie Che, Louis Yuen, Cutie Mui', 'Louis Yuen'], [2004, 'The Super Trio Continues', '07', 'Michael Tao, Kenix Kwok, Cheung Tat-Ming, Wong Ceng, Nnadia Chan', 'Charmaine Sheh, Michael Tao'], [2007, 'Foodie 2 Shoes', '19, 20', 'Chin Ka Lok, Edmond Leung, Vanessa Yeung', 'Charmaine Sheh, Chin Ka Lok'], [2008, 'Super Trio Supreme', '01', 'Bosco Wong, Michael Miu, Cutie Mui, Johnny Tang, Krystal Tin, Tiffany Hew, Cleo Tay, Crystal Wong', 'Charmaine Sheh, Cutie Mui'], [2009, 'Are You Smarter Than a 5th Grader?', '05, 06', nan, 'HK$175,000 (Levels 8/11)'], [2010, 'Super Trio Game Master', '20', 'Moses Chan, Kenneth Ma, Raymond Wong, Lee Heung Kam, Louis Yuen, Selena Li, Susan Tse, Lee Kwok Leung, Edwin Siu, Elaine Yiu, Yoyo Chen, Charmaine Li', 'Tie'], [2011, 'All Star Glam Exam', '08', 'Ekin Cheng, Eric Kot, Fala Chen', 'Charmaine Sheh']]",what is the number of tv shows that charmaine sheh has appeared on?,9
"[['Pennant', 'Name', 'Hull builder', 'Ordered', 'Laid down', 'Launched', 'Accepted into service', 'Commissioned', 'Est. building cost', 'Fate'], ['F169', 'Amazon', 'Vosper Thornycroft, Woolston', '26 March 1969', '6 November 1969', '26 April 1971', '19 July 1974', '11 May 1974', '£16.8M', 'To Pakistan as Babur'], ['F170', 'Antelope', 'Vosper Thornycroft', '11 May 1970', '23 March 1971', '16 March 1972', '30 June 1975', '16 July 1975', '£14.4M', 'Bombed by Argentine A-4 Skyhawks on 23 May 1982 and sank following day in San Carlos Water'], ['F172', 'Ambuscade', 'Yarrow Shipbuilders, Scotstoun', '11 November 1971', '1 September 1971', '18 January 1973', '23 August 1975', '5 September 1975', '£16.5M', 'To Pakistan as Tariq'], ['F173', 'Arrow', 'YSL', '11 November 1971', '28 September 1972', '5 February 1974', '16 May 1975', '29 July 1976', '£20.2M', 'To Pakistan as Khaibar'], ['F171', 'Active', 'Vosper Thornycroft', '11 May 1970', '21 July 1971', '23 November 1972', '2 June 1977', '17 June 1977', '£24.1M', 'To Pakistan as Shah Jahan'], ['F174', 'Alacrity', 'YSL', '11 November 1971', '5 March 1973', '18 September 1974', '2 April 1977', '2 July 1977', '£23.8M', 'To Pakistan as Badr'], ['F184', 'Ardent', 'YSL', '11 November 1971', '26 February 1974', '9 May 1975', '10 September 1977', '14 October 1977', '£26.3M', 'Bombed by Argentine A-4 Skyhawks on 21 May 1982 in San Carlos Water and sank following day in Grantham Sound'], ['F185', 'Avenger', 'YSL', '11 November 1971', '30 October 1974', '20 November 1975', '15 April 1978', '15 April 1978', '£27.7M', 'To Pakistan as Tippu Sultan']]","amazon is at the top of the chart, but what is the name below it?",Antelope
"[['Year', 'Site', 'Winning team', 'Losing team', 'Series'], [1902, 'Lawrence', 'Kansas 16', 'Kansas State 0', 'KU 1–0'], [1903, 'Lawrence', 'Kansas 34', 'Kansas State 0', 'KU 2–0'], [1904, 'Manhattan', 'Kansas 41', 'Kansas State 4', 'KU 3–0'], [1905, 'Lawrence', 'Kansas 28', 'Kansas State 0', 'KU 4–0'], [1906, 'Manhattan', 'Kansas State 6', 'Kansas 4', 'KU 4–1'], [1907, 'Lawrence', 'Kansas 29', 'Kansas State 10', 'KU 5–1'], [1908, 'Lawrence', 'Kansas 12', 'Kansas State 6', 'KU 6–1'], [1909, 'Manhattan', 'Kansas 5', 'Kansas State 3', 'KU 7–1'], [1911, 'Manhattan', 'Kansas 6', 'Kansas State 0', 'KU 8–1'], [1912, 'Lawrence', 'Kansas 19', 'Kansas State 6', 'KU 9–1'], [1913, 'Manhattan', 'Kansas 26', 'Kansas State 0', 'KU 10–1'], [1914, 'Lawrence', 'Kansas 27', 'Kansas State 0', 'KU 11–1'], [1915, 'Manhattan', 'Kansas 19', 'Kansas State 7', 'KU 12–1'], [1916, 'Lawrence', 'Kansas 0', 'Kansas State 0', 'KU 12–1–1'], [1917, 'Manhattan', 'Kansas 9', 'Kansas State 0', 'KU 13–1–1'], [1918, 'Lawrence', 'Kansas 13', 'Kansas State 7', 'KU 14–1–1'], [1919, 'Lawrence', 'Kansas 16', 'Kansas State 3', 'KU 15–1–1'], [1920, 'Manhattan', 'Kansas 14', 'Kansas State 0', 'KU 16–1–1'], [1921, 'Lawrence', 'Kansas 21', 'Kansas State 7', 'KU 17–1–1'], [1922, 'Manhattan', 'Kansas 7', 'Kansas State 7', 'KU 17–1–2'], [1923, 'Lawrence', 'Kansas 0', 'Kansas State 0', 'KU 17–1–3'], [1924, 'Manhattan', 'Kansas State 6', 'Kansas 0', 'KU 17–2–3'], [1925, 'Lawrence', 'Kansas State 14', 'Kansas 7', 'KU 17–3–3'], [1926, 'Manhattan', 'Kansas State 27', 'Kansas 0', 'KU 17–4–3'], [1927, 'Lawrence', 'Kansas State 13', 'Kansas 2', 'KU 17–5–3'], [1928, 'Manhattan', 'Kansas 7', 'Kansas State 0', 'KU 18–5–3'], [1929, 'Lawrence', 'Kansas State 6', 'Kansas 0', 'KU 18–6–3'], [1930, 'Manhattan', 'Kansas 14', 'Kansas State 0', 'KU 19–6–3'], [1931, 'Lawrence', 'Kansas State 13', 'Kansas 0', 'KU 19–7–3'], [1932, 'Manhattan', 'Kansas 19', 'Kansas State 0', 'KU 20–7–3'], [1933, 'Lawrence', 'Kansas State 6', 'Kansas 0', 'KU 20–8–3'], [1934, 'Manhattan', 'Kansas State 13', 'Kansas 0', 'KU 20–9–3'], [1935, 'Lawrence', 'Kansas 9', 'Kansas State 2', 'KU 21–9–3'], [1936, 'Manhattan', 'Kansas State 26', 'Kansas 6', 'KU 21–10–3'], [1937, 'Lawrence', 'Kansas State 7', 'Kansas 0', 'KU 21–11–3'], [1938, 'Manhattan', 'Kansas 27', 'Kansas State 7', 'KU 22–11–3'], [1939, 'Lawrence', 'Kansas State 27', 'Kansas 6', 'KU 22–12–3'], [1940, 'Manhattan', 'Kansas State 20', 'Kansas 0', 'KU 22–13–3'], [1941, 'Lawrence', 'Kansas 20', 'Kansas State 16', 'KU 23–13–3'], [1942, 'Manhattan', 'Kansas 19', 'Kansas State 7', 'KU 24–13–3'], [1943, 'Lawrence', 'Kansas 25', 'Kansas State 2', 'KU 25–13–3'], [1944, 'Manhattan', 'Kansas State 24', 'Kansas 18', 'KU 25–14–3'], [1945, 'Lawrence', 'Kansas 27', 'Kansas State 0', 'KU 26–14–3'], [1946, 'Manhattan', 'Kansas 34', 'Kansas State 0', 'KU 27–14–3'], [1947, 'Lawrence', 'Kansas 55', 'Kansas State 0', 'KU 28–14–3'], [1948, 'Manhattan', 'Kansas 20', 'Kansas State 14', 'KU 29–14–3'], [1949, 'Lawrence', 'Kansas 38', 'Kansas State 0', 'KU 30–14–3'], [1950, 'Manhattan', 'Kansas 47', 'Kansas State 7', 'KU 31–14–3'], [1951, 'Lawrence', 'Kansas 33', 'Kansas State 14', 'KU 32–14–3'], [1952, 'Manhattan', '(#9) Kansas 26', 'Kansas State 6', 'KU 33–14–3'], [1953, 'Lawrence', 'Kansas State 7', 'Kansas 0', 'KU 33–15–3'], [1954, 'Manhattan', 'Kansas State 28', 'Kansas 6', 'KU 33–16–3'], [1955, 'Lawrence', 'Kansas State 46', 'Kansas 0', 'KU 33–17–3'], [1956, 'Manhattan', 'Kansas 20', 'Kansas State 15', 'KU 34–17–3'], [1957, 'Lawrence', 'Kansas 13', 'Kansas State 7', 'KU 35–17–3'], [1958, 'Manhattan', 'Kansas 21', 'Kansas State 12', 'KU 36–17–3'], [1959, 'Lawrence', 'Kansas 33', 'Kansas State 14', 'KU 37–17–3'], [1960, 'Manhattan', 'Kansas 41', 'Kansas State 0', 'KU 38–17–3'], [1961, 'Lawrence', 'Kansas 34', 'Kansas State 0', 'KU 39–17–3'], [1962, 'Manhattan', 'Kansas 38', 'Kansas State 0', 'KU 40–17–3'], [1963, 'Lawrence', 'Kansas 34', 'Kansas State 0', 'KU 41–17–3'], [1964, 'Manhattan', 'Kansas 7', 'Kansas State 0', 'KU 42–17–3'], [1965, 'Lawrence', 'Kansas 34', 'Kansas State 0', 'KU 43–17–3'], [1966, 'Manhattan', 'Kansas 3', 'Kansas State 3', 'KU 43–17–4'], [1967, 'Lawrence', 'Kansas 17', 'Kansas State 16', 'KU 44–17–4'], [1968, 'Manhattan', '(#7) Kansas 38', 'Kansas State 29', 'KU 45–17–4']]",when was the last time kansas state lost with 0 points in manhattan?,1964
"[['Tenure', 'Coach', 'Years', 'Record', 'Pct.'], ['1892', 'Shelby Fletcher', '1', '1–0', 1.0], ['1893', 'W. M. Walker', '1', '4–6–1', 0.409], ['1894', 'J. H. Lyons', '1', '10–3', 0.769], ['1895', 'J. F. Jenkins', '1', '9–3', 0.75], ['1896', 'Eli Abbott', '1', '5–5', 0.5], ['1897', 'Kid Peeples', '1', '10–0', 1.0], ['1898', 'Joseph Black', '1', '2–3', 0.4], ['1899', 'F. C. Owen', '1', '3–6', 0.333], ['1900', 'Ardis Smith', '1', '9–3', 0.75], ['1901–1905', 'Thomas Stouch', '5', '49–25–1', 0.66], ['1906', 'Schwartz', '1', '4–16–1', 0.214], ['1907–1910', 'J. W. H. Pollard', '4', '66–22–1', 0.747], ['1911', 'Guy Lowman', '1', '12–5', 0.706], ['1912–1915', 'D. V. Graves', '4', '66–30–1', 0.686], ['1916–1919', 'B. L. Noojin', '4', '55–18', 0.753], ['1920', 'Gordon W. Lewis', '1', '15–2', 0.882], ['1921–1923', 'Charles Bernier', '3', '28–35–4', 0.448], ['1924–1927', 'Wallace Wade', '4', '61–32–2', 0.653], ['1928', 'Hank Crisp', '1', '12–7–2', 0.619], ['1929–1930', 'Jess Neely', '2', '28–15–2', 0.644], ['1931–1932', 'Sam Hinton', '2', '23–7–2', 0.75], ['1933–1934', 'Jennings B. Whitworth', '2', '21–11', 0.656], ['1943', 'Paul Burnham', '1', '12–6', 0.667], ['1946', 'Dixie Howell', '1', '13–7', 0.65], ['1935–1942\\n1947–1963', 'Tilden Campbell', '25', '355–168–4', 0.677], ['1964–1969', 'Joe Sewell', '6', '106–79', 0.573], ['1970–1979', 'Hayden Riley', '10', '236–206–1', 0.533], ['1980–1994', 'Barry Shollenberger', '15', '487–334–1', 0.593], ['1995–2009', 'Jim Wells', '15', '625–322', 0.656], ['2010–present', 'Mitch Gaspard', '4', '133–115', 0.536], ['Totals', '30 coaches', '121 seasons', '2,461–1,490–23', 0.623]]",how long was joseph black a coach?,1 year
"[['Round', 'Game', 'Date', 'Visitor', 'Score', 'Home', 'Score.1', 'OT'], ['Preliminary Round', 'Bye', nan, nan, nan, nan, nan, nan], ['Quarter-Finals', 'Game 1', '13-Apr-75', 'Chicago Black Hawks', 1.0, 'Buffalo Sabres', 4.0, nan], ['Quarter-Finals', 'Game 2', '15-Apr-75', 'Chicago Black Hawks', 1.0, 'Buffalo Sabres', 3.0, nan], ['Quarter-Finals', 'Game 3', '17-Apr-75', 'Buffalo Sabres', 4.0, 'Chicago Black Hawks', 5.0, '(OT)'], ['Quarter-Finals', 'Game 4', '20-Apr-75', 'Buffalo Sabres', 6.0, 'Chicago Black Hawks', 2.0, nan], ['Quarter-Finals', 'Game 5', '22-Apr-75', 'Chicago Black Hawks', 1.0, 'Buffalo Sabres', 3.0, nan], ['Semi-Finals', 'Game 1', '27-Apr-75', 'Montreal Canadiens', 5.0, 'Buffalo Sabres', 6.0, '(OT)'], ['Semi-Finals', 'Game 2', '29-Apr-75', 'Montreal Canadiens', 2.0, 'Buffalo Sabres', 4.0, nan], ['Semi-Finals', 'Game 3', '1-May-75', 'Buffalo Sabres', 0.0, 'Montreal Canadiens', 7.0, nan], ['Semi-Finals', 'Game 4', '3-May-75', 'Buffalo Sabres', 2.0, 'Montreal Canadiens', 8.0, nan], ['Semi-Finals', 'Game 5', '6-May-75', 'Montreal Canadiens', 4.0, 'Buffalo Sabres', 5.0, '(OT)'], ['Semi-Finals', 'Game 6', '8-May-75', 'Buffalo Sabres', 4.0, 'Montreal Canadiens', 3.0, nan], ['Stanley Cup Finals', 'Game 1', '15-May-75', 'Buffalo Sabres', 1.0, 'Philadelphia Flyers', 4.0, nan], ['Stanley Cup Finals', 'Game 2', '18-May-75', 'Buffalo Sabres', 1.0, 'Philadelphia Flyers', 2.0, nan], ['Stanley Cup Finals', 'Game 3', '20-May-75', 'Philadelphia Flyers', 4.0, 'Buffalo Sabres', 5.0, '(OT)'], ['Stanley Cup Finals', 'Game 4', '22-May-75', 'Philadelphia Flyers', 2.0, 'Buffalo Sabres', 4.0, nan], ['Stanley Cup Finals', 'Game 5', '25-May-75', 'Buffalo Sabres', 1.0, 'Philadelphia Flyers', 5.0, nan], ['Stanley Cup Finals', 'Game 6', '27-May-75', 'Philadelphia Flyers', 2.0, 'Buffalo Sabres', 0.0, nan]]",which month were the least amount of games held in?,April
"[['Season', 'Series', 'Team', 'Races', 'wins', 'Poles', 'Fast laps', 'Points', 'Pos.'], ['2001', 'Formula One', 'Prost', 'Test driver', 'Test driver', 'Test driver', 'Test driver', 'Test driver', 'Test driver'], ['2001', 'Formula 3000 International', 'GD Racing', '4', '0', '0', '0', '0', 'NC'], ['2001', 'World Series by Nissan', 'GD Racing', '6', '0', '0', '1', '51', '9th'], ['2002', 'World Series by Nissan', 'GD Racing', '6', '0', '0', '0', '30', '13th'], ['2003', 'World Series by Nissan', 'GD Racing', '2', '0', '0', '0', '0', 'NC'], ['2006', 'Formula One', 'Renault', 'Test driver', 'Test driver', 'Test driver', 'Test driver', 'Test driver', 'Test driver'], ['2007–08', 'A1 Grand Prix', 'A1 Team France', '2', '0', '0', '0', '0', '4th']]",what is the number of formula one series races that cochet has been in?,2
"[['League', 'League.1', 'Position', 'Teams', 'Matches', 'Win', 'Lose'], ['V.League', '7th (2000-01)', '4th', 10, 18, 9, 9], ['V.League', '8th (2001-02)', '4th', 9, 16, 14, 2], ['V.League', '9th (2002-03)', '3rd', 8, 21, 12, 9], ['V.League', '10th (2003-04)', 'Runner-up', 10, 18, 13, 5], ['V.League', '11th (2004-05)', '8th', 10, 27, 11, 16], ['V.League', '12th (2005-06)', '4th', 10, 27, 20, 7], ['V・Premier', '2006-07', '6th', 10, 27, 11, 16], ['V・Premier', '2007-08', 'Champion', 10, 27, 23, 4], ['V・Premier', '2008-09', 'Champion', 10, 27, 20, 7], ['V・Premier', '2009-10', 'Champion', 8, 28, 21, 7], ['V・Premier', '2010-11', 'Runner-up', 8, 26, 19, 7], ['V・Premier', '2011-12', 'Champion', 8, 21, 18, 3], ['V・Premier', '2012-13', 'Runner-up', 8, 28, 20, 8]]",how many matches took place in the first premier?,27
"[['Year', 'Driver', 'Constructor', 'Location', 'Report'], ['1992', 'Nigel Mansell', 'Williams-Renault', 'Hermanos Rodriguez', 'Report'], ['1991', 'Riccardo Patrese', 'Williams-Renault', 'Hermanos Rodriguez', 'Report'], ['1990', 'Alain Prost', 'Ferrari', 'Hermanos Rodriguez', 'Report'], ['1989', 'Ayrton Senna', 'McLaren-Honda', 'Hermanos Rodriguez', 'Report'], ['1988', 'Alain Prost', 'McLaren-Honda', 'Hermanos Rodriguez', 'Report'], ['1987', 'Nigel Mansell', 'Williams-Honda', 'Hermanos Rodriguez', 'Report'], ['1986', 'Gerhard Berger', 'Benetton-BMW', 'Hermanos Rodriguez', 'Report'], ['1985\\n-\\n1971', 'Not held', 'Not held', 'Not held', 'Not held'], ['1970', 'Jacky Ickx', 'Ferrari', 'Magdalena Mixhuca', 'Report'], ['1969', 'Denny Hulme', 'McLaren-Ford', 'Magdalena Mixhuca', 'Report'], ['1968', 'Graham Hill', 'Lotus-Ford', 'Magdalena Mixhuca', 'Report'], ['1967', 'Jim Clark', 'Lotus-Ford', 'Magdalena Mixhuca', 'Report'], ['1966', 'John Surtees', 'Cooper-Maserati', 'Magdalena Mixhuca', 'Report'], ['1965', 'Richie Ginther', 'Honda', 'Magdalena Mixhuca', 'Report'], ['1964', 'Dan Gurney', 'Brabham-Climax', 'Magdalena Mixhuca', 'Report'], ['1963', 'Jim Clark', 'Lotus-Climax', 'Magdalena Mixhuca', 'Report'], ['1962', 'Trevor Taylor\\n Jim Clark', 'Lotus-Climax', 'Magdalena Mixhuca', 'Report']]",which driver appears the most?,Jim Clark
"[['Name of place', 'Number of counties', 'Principal county', 'Lower zip code'], ['Yager Junction', 1, 'Humboldt County', nan], ['Yale', 1, 'Riverside County', 92544.0], ['Yankee Hill', 1, 'Butte County', 95965.0], ['Yankee Hill', 1, 'Tuolumne County', nan], ['Yankee Jims', 1, 'Placer County', 95713.0], ['Yarmouth', 1, 'San Joaquin County', nan], ['Yellowjacket', 1, 'Tehama County', nan], ['Yerba Buena Island', 1, 'San Francisco County', nan], ['Yermo', 1, 'San Bernardino County', 92398.0], ['Yettem', 1, 'Tulare County', 93670.0], ['Ygnacio Valley', 1, 'Contra Costa County', 94598.0], ['Yokohl', 1, 'Tulare County', nan], ['Yolano', 1, 'Solano County', 95620.0], ['Yolo', 1, 'Yolo County', 95697.0], ['Yontocket', 1, 'Del Norte County', nan], ['Yorba', 1, 'Los Angeles County', 91767.0], ['Yorba Linda', 1, 'Orange County', 92686.0], ['York', 1, 'Los Angeles County', 90050.0], ['Yorkville', 1, 'Mendocino County', 95494.0], ['Yosemite Forks', 1, 'Madera County', nan], ['Yosemite Junction', 1, 'Tuolumne County', 95389.0], ['Yosemite Lakes', 1, 'Madera County', nan], ['Yosemite Lakes Park', 1, 'Madera County', nan], ['Yosemite Lodge', 1, 'Mariposa County', 95389.0], ['Yosemite National Park', 3, 'Madera County', 95389.0], ['Yosemite National Park', 3, 'Mariposa County', 95389.0], ['Yosemite National Park', 3, 'Tuolumne County', 95389.0], ['Yosemite National Park', 1, 'Mariposa County', 95389.0], ['Yosemite Valley', 1, 'Mariposa County', nan], ['Yosemite Village', 1, 'Mariposa County', nan], ['You Bet', 1, 'Nevada County', nan], ['Youngstown', 1, 'San Joaquin County', nan], ['Yountville', 1, 'Napa County', 94599.0], ['Yreka', 1, 'Siskiyou County', 96097.0], ['Yreka City', 1, 'Siskiyou County', 96097.0], ['Yuba City', 1, 'Sutter County', 95991.0], ['Yuba City Farm Labor Center', 1, 'Sutter County', 95991.0], ['South Yuba City', 1, 'Sutter County', 95991.0], ['Yuba Pass', 1, 'Nevada County', nan], ['Yuba-Sutter Area', 2, 'Sutter County Yuba County', nan], ['Yucaipa', 1, 'San Bernardino County', 92399.0], ['Yucca Grove', 1, 'San Bernardino County', nan], ['Yucca Inn', 1, 'San Bernardino County', nan], ['Yucca Valley', 1, 'San Bernardino County', 92284.0], ['Yurok Indian Reservation', 2, 'Del Norte County', 95546.0], ['Yurok Indian Reservation', 2, 'Humboldt County', 95546.0]]",how many places list no zip code in either the lower or upper zip code?,18
"[['Name', 'Hanzi', 'Population (2005)', 'Area (Km2)'], ['Qingxi', '清溪镇', '20,000', 2.9], ['Ruyi', '如意镇', '15,100', 33.85], ['Yintian', '银田镇', '19,500', 28.0], ['Daping', '大坪乡', '14,300', 32.0], ['Yongyi', '永义乡', '10,600', 24.0], ['Shaoshan', '韶山乡', '14,700', 37.62], ['Yanglin', '杨林乡', '20,600', 58.8]]",how many populations at most have any notes?,0
"[['Service', 'Service ID', 'Bit rate', 'Audio channels', 'Description', 'Analogue availability'], ['Capital Yorkshire', 'C3AA', '128 kbit/s', 'Joint stereo', ""Dance and R'n'B"", '105.1\xa0MHz (South & West Yorkshire)\\n105.6\xa0MHz (Bradford & Sheffield)\\n105.8\xa0MHz (Humberside)'], ['Choice FM', 'C0CE', '128 kbit/s', 'Joint stereo', ""R'n'B and Hip-hop"", '—'], ['Heart London', 'CCCD', '128 kbit/s', 'Joint stereo', 'Adult contemporary', '—'], ['Gold', 'C2CE', '64 kbit/s', 'Mono LSF', 'Oldies, 60s, 70s, 80s', '—'], ['Real Radio (Yorkshire)', 'C3A4', '128 kbit/s', 'Joint stereo', 'Contemporary', '106.2\xa0MHz (South & West Yorkshire)\\n107.6\xa0MHz (Bradford & Halifax)\\n107.7\xa0MHz (Sheffield)'], ['Real Radio XS', 'C8C5', '128 kbit/s', 'Joint stereo', 'Classic rock', '—'], ['UCB Gospel', 'CED0', '64 kbit/s', 'Mono LSF', 'Christian', '—'], ['UCB Inspirational', 'CFD0', '64 kbit/s', 'Mono LSF', 'Christian', '—'], ['XFM', 'C0B8', '128 kbit/s', 'Joint stereo', 'Indie / alternative / rock music', '—'], ['Yorkshire Radio', 'CFCD', '128 kbit/s', 'Joint stereo', 'Pop music and sport', '—'], ['DAB Guide', 'E1C000A9', '8 kbit/s', 'Data', 'Hidden service, EPG data', '—']]",what is the number of christian radio stations broadcasted by mxr yorkshire?,2
"[['Year', 'Title', 'Peak chart positions\\nGER', 'Label', 'Artist'], [1981, 'Savoir faire', '—', 'Capitol', 'Mink DeVille'], [1993, 'Spanish Stroll 1977-1987', '—', 'Disky, Raven', 'Mink DeVille'], [1995, 'Les inoubliables de Willy DeVille', '—', 'Wagram', 'Willy DeVille'], [1996, 'Love & Emotion: The Atlantic Years', '54', 'Atlantic', 'Mink DeVille'], [1996, 'Mink/Willy DeVille Greatest Hits', '—', 'EMI', 'Mink DeVille'], [1996, 'Spanish Stroll', '—', 'Disky', 'Mink DeVille'], [1996, 'Best of Willy DeVille', '—', 'Arcade', 'Willy DeVille'], [1997, 'His Greatest Hits', '—', 'Arcade', 'Mink DeVille'], [1997, 'Premium Gold Collection', '—', 'EMI', 'Mink DeVille'], [1997, 'The Best of Mink DeVille', '—', 'EMI', 'Mink DeVille'], [1999, 'Collection légende', '—', 'Wagram', 'Willy DeVille'], [2001, 'Cadillac Walk: The Mink DeVille Collection', '—', 'Capitol', 'Mink DeVille'], [2003, 'Greatest Hits', '—', 'EMI', 'Mink DeVille'], [2005, 'Mink DeVille', '—', 'Disky', 'Mink DeVille'], [2009, 'Introducing Willy DeVille', '—', 'Edel', 'Willy DeVille']]",what is the most compilation albums released in one year?,4
"[['Manufacturer', 'Model', 'first flight', 'max Payload (t)', 'Cruise (km/h)', 'max range (km)', 'MTOW'], ['Airbus', 'A330 MRTT', 2007, 45.0, '860', '14,800', 223.0], ['Airbus', 'A400M', 2009, 37.0, '780', '9,300', 141.0], ['Alenia', 'C-27J Spartan', 2008, 11.5, '583', '5,926', 31.8], ['Antonov', 'An-12', 1957, 20.0, '777', '5,700', 61.0], ['Antonov', 'An-22 Antei', 1965, 80.0, '740', '5,000', 250.0], ['Antonov', 'An-26', 1969, 5.5, '440', '2,550', 24.0], ['Antonov', 'An-32', 1976, 6.7, '480', '2,500', 26.9], ['Antonov', 'An-70', 1994, 47.0, '729', '6,600', 145.0], ['Antonov', 'An-72', 1977, 7.5, '600', '4,800', 33.0], ['Antonov', 'An-124 Ruslan', 1982, 150.0, '800-850', '5,410', 405.0], ['Antonov', 'An-225 Mriya', 1988, 250.0, '800', '15,400', 600.0], ['AVIC', 'Y-8', 1974, 20.0, '550', '5,616', 61.0], ['AVIC', 'Y-9', 2008, 25.0, '650', '7,800', 77.0], ['AVIC', 'Y-20', 2013, 66.0, '700', '7,800', 220.0], ['Bell/Boeing', 'V-22 Osprey', 1989, 6.8, '396', '1,627', 27.4], ['Boeing', 'C-17 Globemaster III', 1991, 77.5, '830', '4,482', 265.0], ['CASA', 'C-212 Aviocar', 1971, 2.8, '315', '1,433', 8.0], ['CASA/Indonesian Aerospace', 'CN-235', 1983, 5.0, '509', '5,003', 15.1], ['CASA', 'C-295', 1998, 9.3, '481', '5,630', 23.2], ['de Havilland Canada', 'C-7 Caribou', 1958, 3.6, '348', '2,103', 14.2], ['Douglas', 'C-47', 1943, 3.0, '360', '2,600', 10.5], ['Grumman', 'C-1 Trader', 1952, 1.6, '462', '2,092', 13.2], ['Grumman', 'C-2 Greyhound', 1964, 4.5, '465', '2,400', 24.7], ['Embraer', 'KC-390', 2014, 23.0, '900', '6,200', 72.0], ['Fairchild', 'C-123 Provider', 1949, 11.0, '367', '1,666', 27.0], ['Ilyushin', 'Il-76', 1971, 47.0, '900', '4,400', 210.0], ['Ilyushin', 'Il-112', 2011, 5.9, '550', '5,000', 20.0], ['Kawasaki', 'C-1', 1970, 11.9, '657', '1,300', 45.0], ['Kawasaki', 'XC-2', 2010, 37.6, '890', '6,500', 120.0], ['Lockheed', 'C-5 Galaxy', 1968, 122.0, '907', '4,445', 381.0], ['Lockheed', 'C-130 Hercules', 1954, 20.0, '540', '3,800', 70.3], ['Lockheed', 'C-141 Starlifter', 1963, 45.0, '912', '9,880', 147.0], ['PZL Mielec', 'M-28 Skytruck', 1993, 2.5, '270', '1,500', 8.0], ['Short Brothers', 'C-23 Sherpa', 1982, 3.2, '296', '1,239', 3.2], ['Transport Allianz', 'Transall C-160', 1963, 16.0, '513', '1,850', 49.2], ['UAC and HAL', 'UAC/HAL Multirole Transport Aircraft', 2015, 22.0, '830', '2,500', 68.0]]",what are the number of times antonov is listed as the manufacturer?,8
